LINEID,ROUTEID,DIRECTION,sequence
41D,41D_26,1,"[288, 1171, 1172, 1173, 1174, 1175, 15, 17, 18, 19, 21, 7602, 85, 203, 204, 205, 1620, 220, 1622, 1623, 1624, 1625, 1626, 1627, 1628, 1629, 1630, 3670, 3671, 3672, 3674, 3675, 3676, 5073, 5074, 6054, 4330, 3679, 3711, 7189]"
41D,41D_27,2,"[5044, 3751, 3689, 7594, 3690, 6117, 5079, 3694, 3695, 3696, 3697, 3698, 3699, 3885, 1632, 5053, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 231, 1641, 1642, 213, 214, 4432, 119, 44, 7603, 45, 46, 47, 48, 49, 51, 52, 277, 288]"
