LINEID,ROUTEID,DIRECTION,sequence
25A,25A_270,2,"[4620, 7563, 3368, 4626, 4627, 4624, 4625, 4628, 4623, 4619, 4561, 4629, 4630, 4631, 4632, 5164, 4633, 2234, 2235, 2236, 2237, 2238, 5056, 2239, 2241, 2242, 7626, 7435, 2722, 4413, 1476, 7453, 1478, 1479, 315, 347, 406, 4530, 748, 7390]"
25A,25A_273,1,"[7391, 493, 494, 495, 400, 7588, 7392, 312, 1444, 1445, 4407, 2637, 2721, 7012, 7566, 2201, 7239, 4401, 2213, 2214, 2215, 2216, 4599, 4601, 5058, 4602, 4603, 4604, 4605, 4562, 7386, 4607, 4608, 4609, 4610, 4611, 4612, 4613, 3370, 7168, 4616]"
