LINEID,ROUTEID,DIRECTION,sequence
151,151_15,1,"[7514, 2279, 6251, 5140, 1500, 302, 301, 4495, 4522, 1934, 2310, 2311, 2312, 2313, 2314, 2315, 2094, 1406, 1407, 1409, 2095, 2096, 2097, 2099, 2101, 2102, 2726, 2727, 2105, 6140, 6144, 6145, 6146, 6147, 6149, 6150, 6143, 6011, 2133, 6244, 2134, 2135, 2164, 2165, 2166, 4545, 4552, 4554, 7016, 4619]"
151,151_16,1,"[7514, 2279, 6251, 5140, 1500, 302, 301, 4495, 4522, 1934, 2310, 2311, 2312, 2313, 2314, 2315, 2094, 1406, 1407, 1409, 2095, 2096, 2097, 2099, 2101, 2102, 2726, 2727, 2105, 6140, 6144, 6145, 6146, 6147, 6149, 6150, 6143, 6011, 2133, 6244, 2134, 2135, 2164, 2165, 2166, 4545, 4552, 4554, 7016, 4619]"
151,151_17,2,"[4606, 7142, 7015, 4617, 4555, 4576, 3418, 3419, 4762, 4763, 6245, 2156, 6014, 6242, 6152, 6153, 6243, 6154, 6155, 6141, 6142, 2181, 2182, 2778, 2185, 7043, 1424, 2186, 2187, 2188, 2189, 1436, 3952, 2190, 4434, 2379, 2380, 2382, 5099, 2383, 1479, 7622, 297, 407, 2498, 2499, 2500, 2501, 7623, 2508, 2278]"
151,151_18,2,"[4606, 7142, 7015, 4617, 4555, 3418, 3419, 4762, 4763, 6245, 2156, 6014, 6242, 6152, 6153, 6243, 6154, 6155, 6141, 6142, 2181, 2182, 2778, 2185, 7043, 1424, 2186, 2187, 2188, 2189, 1436, 3952, 2190, 4434, 2379, 2380, 2382, 5099, 2383, 1479, 7622, 297, 407, 2498, 2499, 2500, 2501, 7623, 2508, 2278]"
151,151_19,2,"[4606, 7142, 7015, 4617, 4555, 3418, 3419, 4762, 4763, 6245, 2156, 6014, 6242, 6152, 6153, 6243, 6154, 6155, 6141, 6142, 2181, 2182, 2778, 2185, 7043, 1424, 2186, 2187, 2188, 2189, 1436, 3952, 2190, 4434, 2379, 2380, 2382, 5099, 2383, 1479, 7622, 297]"
