LINEID,ROUTEID,DIRECTION,sequence
41X,41X_108,2,"[4843, 4905, 4906, 4907, 4908, 4909, 3884, 3686, 5077, 3694, 3695, 7115, 6310, 6311, 333, 403, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_109,2,"[3088, 3704, 3705, 733, 6015, 5029, 5028, 7115, 6310, 6311, 7405, 333, 403, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_110,2,"[4843, 4905, 4906, 4907, 4908, 4909, 4921, 4922, 4923, 4924, 4958, 3752, 3751, 7114, 7116, 3694, 3695, 7115, 6310, 6311, 7544, 333, 403, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_116,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 4529, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 5030, 5031, 6033, 3089, 3090, 3706, 3707, 3708, 3709, 3710, 4925, 3679, 5075, 5076, 3682, 3864, 3865, 4910, 4911, 4912, 4913, 4914, 4915, 4957]"
41X,41X_117,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 3676, 5073, 3679, 5075, 5076, 3682, 3864, 3865, 4910, 4911, 4912, 4913, 4914, 4915, 7654]"
41X,41X_118,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 5030, 5031, 6033, 3089, 3090, 3706, 3707, 3708, 3709, 3710, 4925, 3679, 5075, 5076, 3682, 3864, 3865, 4910, 4911, 4912, 4913, 4914, 4915, 7654]"
41X,41X_119,2,"[7654, 4843, 4905, 4906, 4907, 4908, 4909, 3884, 3686, 5077, 3694, 3695, 7115, 6310, 6311, 333, 403, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_120,2,"[7654, 4843, 4905, 4906, 4907, 4908, 4909, 4921, 4922, 4923, 4924, 4958, 3752, 3751, 7114, 7116, 3694, 3695, 7115, 6310, 6311, 333, 403, 747, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_121,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 4529, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 6312, 5030, 5030, 5031, 6033, 5031, 6033, 3089, 3089, 3090, 3706, 3090, 3707, 3706, 3708, 3707, 3708, 3709, 3709, 3710, 3710, 4925, 4925, 3679, 5075, 3679, 5076, 5075, 3682, 5076, 3864, 3682, 3864, 3865, 4910, 3865, 4910, 4911, 4912, 4911, 4912, 4913, 4913, 4914, 4914, 4915, 4915, 4957, 4957]"
41X,41X_122,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 3676, 5073, 3679, 5075, 5076, 3682, 3864, 3865, 4910, 4911, 4912, 4913, 4914, 4915, 7654]"
41X,41X_123,1,"[4953, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 906, 909, 786, 790, 7576, 7585, 7587, 345, 297, 407, 2498, 2499, 2500, 2501, 7623, 5030, 5031, 6033, 3089, 3090, 3706, 3707, 3708, 3709, 3710, 4925, 3679, 5075, 5076, 3682, 3864, 3865, 4910, 4911, 4912, 4913, 4914, 4915, 7654]"
41X,41X_124,2,"[4843, 4905, 7655, 4906, 4907, 4908, 4909, 3884, 3686, 5077, 3694, 3695, 7115, 6310, 6311, 7405, 4495, 2809, 2810, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_125,2,"[3088, 3704, 3705, 733, 6015, 5029, 5028, 7115, 6310, 6311, 7404, 7405, 7544, 4495, 2809, 2810, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_126,2,"[4843, 4905, 7655, 4906, 4907, 4908, 4909, 4921, 4922, 4923, 4924, 4958, 3752, 3751, 7114, 7116, 3694, 3695, 7115, 6310, 6311, 7544, 4495, 2809, 2810, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_127,2,"[7654, 4843, 4905, 4906, 4907, 4908, 4909, 3884, 3686, 5077, 3694, 3695, 7115, 6310, 6311, 4495, 2809, 2810, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
41X,41X_128,2,"[7654, 4843, 4905, 4906, 4907, 4908, 4909, 4921, 4922, 4923, 4924, 4958, 3752, 3751, 7114, 7116, 3694, 3695, 7115, 6310, 6311, 7407, 4495, 2809, 2810, 842, 845, 846, 847, 848, 2795, 756, 757, 758, 759, 760, 762, 763, 4953]"
