LINEID,ROUTEID,DIRECTION,sequence
185,185_50,1,"[4167, 4170, 4153, 4154, 4183, 4184, 4185, 4584, 4186, 4187, 4188, 4189, 4190, 4097, 4103, 4104, 4105, 4106, 6139, 4108]"
185,185_51,1,"[4167, 4170, 4153, 4154, 4416, 4417, 4419, 4420]"
185,185_52,1,"[4167, 4170, 4153, 4154, 4183, 4184, 4185, 4584, 4186, 4422, 4199, 4416, 4417, 4419, 2113, 4420, 4419, 4420]"
185,185_53,1,"[4167, 4170, 4153, 4154, 4183, 4184, 4185, 4584, 4186, 4187, 4188, 4189, 4190, 4097, 4103, 4104, 4105, 4106, 6139, 4108]"
185,185_54,1,"[4167, 4170, 4153, 4154, 4416, 4417, 4419, 4420, 4421, 2113, 4183, 4184, 4185, 4584, 4186, 4187, 4188, 4189, 4190, 4097, 4103, 4104, 4105, 4106, 6139, 4108]"
185,185_55,1,"[4167, 4170, 4153, 4154, 4416, 4417, 4419, 4420, 4421, 2113, 4183, 4184, 4185, 4584, 4186, 4187, 4188, 4189, 4190, 4097, 4103, 4104, 4105, 4106, 6139, 4108]"
185,185_56,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4131, 7294, 4156, 4167]"
185,185_57,2,"[4420, 4421, 2113, 4131, 7294, 4156, 4167]"
185,185_58,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4131, 7294, 4156, 4167]"
185,185_59,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4416, 4417, 4419, 4420, 4421, 2113, 4131, 7294, 4156, 4167]"
185,185_60,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4416, 4417, 4419, 4420, 4421, 2113, 4131, 7294, 4156, 4167]"
185,185_61,2,"[4420, 4421, 2113, 4183, 4196, 4422, 7369, 7295, 4199, 4131, 7294, 4156, 4167]"
185,185_62,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4416, 4417, 4419, 4420, 4421, 2113, 4131, 7294, 4156, 4167]"
185,185_63,2,"[4108, 4109, 4110, 4111, 4112, 4113, 4095, 4192, 4194, 4196, 4422, 7369, 7295, 4199, 4131]"
