LINEID,ROUTEID,DIRECTION,sequence
54A,54A_11,1,"[342, 1279, 1934, 2385, 2386, 2387, 2388, 1290, 1291, 2389, 2390, 2391, 2392, 2393, 2394, 2395, 2396, 2397, 2398, 2399, 2400, 2401, 2402, 2403, 1096, 1097, 1099, 6132, 2551, 2553, 2554, 2555, 2556, 2557, 4436, 5008, 4640, 7214, 4347, 2349, 2351, 2558, 6170, 5023, 5024]"
54A,54A_12,2,"[5161, 5162, 2571, 2359, 2360, 4348, 4646, 4647, 4435, 2594, 2595, 2596, 2597, 2599, 4577, 4578, 1100, 100, 1111, 2404, 2405, 2406, 2408, 2409, 2410, 2411, 2412, 2438, 2439, 2440, 2441, 2442, 2443, 2444, 1344, 1345, 1347, 2634, 2635, 2636, 2383, 2003, 1358, 342]"
