LINEID,ROUTEID,DIRECTION,sequence
123,123_34,1,"[6057, 2183, 2184, 2185, 1423, 1424, 1425, 1426, 1463, 4399, 4400, 1464, 1469, 1465, 1466, 1467, 1468, 1377, 1378, 4514, 4515, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 1359, 274, 7164, 1505, 4509, 499, 500, 501, 1484, 1481, 7320, 1486, 1487, 1488, 1489, 1490]"
123,123_35,1,"[6057, 2183, 2184, 2185, 1423, 1424, 1425, 1426, 1463, 4399, 4400, 1464, 1469, 1465, 1466, 1467, 1468, 1377, 1378, 4514, 4515, 1995, 1996, 1997, 1998, 2001, 2002, 1359, 274]"
123,123_36,2,"[1491, 1492, 1493, 1482, 1494, 1495, 1496, 1515, 1499, 1485, 4518, 509, 510, 511, 513, 4513, 272, 335, 1278, 1934, 1935, 1937, 1938, 1939, 1940, 1941, 4516, 1369, 1370, 1371, 1454, 1455, 1453, 1456, 1457, 1458, 1459, 1460, 1462, 5149, 1419, 6094, 2102, 2103, 7154, 7153, 6056]"
123,123_37,2,"[1491, 1492, 1493, 1482, 1494, 1495, 1496, 1515, 1499, 1485, 4518, 509, 510, 511, 513, 4513, 272]"
