LINEID,ROUTEID,DIRECTION,sequence
150,150_10,2,"[4863, 4864, 4865, 4577, 4578, 1100, 100, 1111, 2323, 2324, 2325, 2326, 5150, 2327, 2328, 2329, 2330, 2331, 1397, 1398, 1399, 5148, 1401, 1402, 1403, 1404, 1405, 4856, 4857, 307, 308, 309, 2383, 2003, 1358, 4494]"
150,150_8,1,"[4495, 1279, 1934, 2310, 2311, 5025, 4854, 1438, 4855, 1439, 1440, 1386, 1387, 1388, 1389, 3355, 3356, 1441, 1442, 7414, 1396, 2317, 2318, 2319, 2320, 2321, 2322, 6163, 1095, 1096, 1097, 1099, 6132, 4861, 4862]"
150,150_9,2,"[4863, 4864, 4865, 4577, 4578, 1100, 100, 1111, 2323, 2324, 2325, 2326, 5150, 2327, 2328, 2329, 2330, 2331, 1397, 1398, 1399, 5148, 1401, 1402, 1403, 1404, 1405, 4856, 4857, 307, 308, 309, 7412, 7413, 2383, 2003, 1358, 4494]"
