LINEID,ROUTEID,DIRECTION,sequence
65B,65B_65,1,"[7564, 4521, 1283, 4456, 1284, 1285, 1016, 1017, 1018, 1019, 1020, 1076, 1077, 1078, 1079, 1080, 1081, 1082, 1083, 1085, 1121, 1122, 1123, 1124, 1125, 1127, 1130, 2550, 2516, 2517, 2518, 4749, 4750, 3006, 4871, 4872, 4873, 4874, 2532, 4877, 4878, 7180, 7331, 2559, 2560, 2561, 2562, 2564, 4927, 4928, 2352, 2573, 2574, 2575, 4929, 7460, 4930, 4931, 7459]"
65B,65B_66,2,"[4713, 4714, 4960, 4932, 4933, 2590, 2591, 2592, 2357, 2566, 2568, 2567, 2568, 2569, 7550, 2569, 7550, 2570, 7222, 2570, 7222, 6170, 6170, 7183, 4880, 7183, 4880, 2539, 2540, 2539, 4882, 2540, 4882, 4883, 4883, 4884, 4885, 4884, 4885, 6343, 4759, 6343, 4760, 4759, 2547, 4760, 2548, 2547, 2548, 2600, 1155, 2600, 1157, 1155, 1157, 1158, 1159, 1158, 1159, 1160, 1161, 1160, 1161, 1162, 1163, 1162, 1163, 1164, 1164, 1165, 1165, 1166, 1166, 1167, 1167, 1168, 1168, 1169, 1169, 1170, 1170, 1069, 1069, 1070, 1071, 1070, 4528, 1071, 1072, 4528, 1072, 1352, 1353, 1352, 7589, 1353, 7589, 1355, 1357, 1355, 1357, 1358, 1358, 7564, 7564]"
