LINEID,ROUTEID,DIRECTION,sequence
84X,84X_52,2,"[4307, 4308, 4253, 4268, 4273, 4277, 7462, 7461, 4281, 4282, 4283, 4284, 4295, 4296, 4301, 4302, 4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 791, 792, 7586, 7587, 317]"
84X,84X_53,2,"[4260, 7296, 4266, 4253, 4268, 4273, 4277, 7462, 7461, 4281, 4282, 4283, 4284, 4295, 4296, 4301, 4302, 4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 791, 792, 4529, 7586, 7587, 317]"
84X,84X_56,1,"[342, 4495, 746, 844, 846, 848, 758, 760, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 6137, 4956]"
84X,84X_57,1,"[342, 4495, 746, 844, 846, 848, 758, 760, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 4188, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 4305, 4306, 4307]"
84X,84X_58,1,"[760, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 4305, 4306, 4307]"
84X,84X_59,2,"[4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 791, 792, 7586, 7587, 317]"
84X,84X_60,1,"[4952, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 4305, 4306, 4307]"
84X,84X_61,2,"[4260, 7296, 4266, 4253, 4268, 4273, 4277, 7462, 7461, 4281, 4282, 4283, 4284, 4295, 4296, 4301, 4302, 4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 792, 4529, 7586, 7587, 303]"
84X,84X_62,2,"[4307, 4308, 4253, 4268, 4273, 4277, 7462, 7461, 4281, 4282, 4283, 4284, 4295, 4296, 4301, 4302, 4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 792, 4529, 7586, 7587, 303]"
84X,84X_63,2,"[4591, 4590, 7366, 7367, 7368, 3143, 3144, 3145, 5128, 2060, 2062, 2064, 4727, 768, 772, 775, 906, 909, 786, 6058, 792, 7586, 7587, 303]"
84X,84X_64,1,"[4495, 746, 844, 846, 848, 758, 760, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 6137, 4956]"
84X,84X_65,1,"[4495, 746, 844, 846, 848, 758, 760, 2007, 4571, 2014, 2016, 2017, 7362, 3134, 3135, 7363, 4588, 4589, 7364, 7365, 4210, 4211, 4215, 4216, 4222, 4224, 4225, 7462, 7461, 4230, 4248, 4252, 4305, 4306, 4307]"
