LINEID,ROUTEID,DIRECTION,sequence
102,102_10,2,"[1073, 3641, 3642, 3643, 3583, 3584, 3585, 3586, 3587, 3588, 3590, 3589, 3591, 3592, 3605, 3606, 3607, 3608, 3609, 3598, 4465, 944, 945, 947, 948, 949, 928, 951, 952, 953, 4381]"
102,102_8,1,"[4381, 935, 936, 913, 914, 938, 940, 941, 942, 943, 4503, 3599, 3610, 3611, 6135, 3612, 3613, 3615, 3616, 3618, 3619, 3620, 3622, 3623, 4387, 3634, 3635, 3636, 905, 4331, 3641, 4339, 6010, 3656, 3653, 1039, 1040, 6054, 4330, 3691, 3572, 3701, 3702, 3088, 3704, 3705, 733, 6015, 788, 815, 816, 3663, 7348]"
102,102_9,2,"[7348, 3669, 3671, 3672, 3078, 3087, 6033, 3089, 3090, 3706, 3707, 3708, 3709, 3710, 4925, 4926, 3678, 6117, 1041, 1050, 3656, 3653, 6055, 1073, 3641, 3642, 3643, 3583, 3584, 3585, 3586, 3587, 3588, 3590, 3589, 3591, 3592, 3605, 3606, 3607, 3608, 3609, 3598, 4465, 944, 945, 947, 948, 949, 928, 951, 952, 953, 4381]"
