LINEID,ROUTEID,DIRECTION,sequence
31B,31B_44,1,"[621, 289, 496, 7490, 515, 516, 4384, 519, 521, 522, 7659, 523, 525, 526, 527, 528, 529, 530, 531, 709, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 677, 678, 679, 680, 681, 682, 683, 684, 685, 686, 688, 689, 690, 5062, 691, 692, 694, 695, 696, 697, 698, 699, 700, 701, 702, 703, 704, 705, 706, 707]"
31B,31B_45,2,"[707, 708, 731, 710, 711, 712, 713, 714, 715, 716, 717, 718, 719, 720, 721, 693, 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 675, 620, 7569]"
31B,31B_46,2,"[557, 558, 559, 560, 562, 563, 564, 565, 566, 707, 708, 731, 710, 711, 712, 713, 714, 715, 716, 717, 718, 719, 720, 721, 680, 681, 682, 683, 684, 685, 686, 688, 689, 690, 5062, 691, 692, 693, 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 675, 620, 7569]"
