LINEID,ROUTEID,DIRECTION,sequence
17,17_10,1,"[1380, 1381, 1406, 1407, 1409, 3353, 3354, 3355, 3356, 1400, 1391, 3357, 3358, 2449, 2450, 2451, 2434, 2435, 2436, 2437, 1117, 1118, 1119, 1120, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1055, 2868, 2892, 2893, 2894, 2895, 3012, 861, 862, 863, 864, 865, 866, 2052, 765, 2082, 2007, 2083, 2008, 765, 2007, 2009, 2010, 2008, 462, 2009, 464, 2010, 462, 465, 466, 464, 465, 467, 468, 466, 3032, 467, 468, 3033, 3032, 3085, 3033, 3085]"
17,17_11,1,"[1380, 1381, 1406, 1407, 1409, 3353, 3354, 3355, 3356, 1400, 1391, 3357, 3358, 2449, 2450, 2451, 2434, 2435, 2436, 2437, 1117, 1118, 1119, 1120, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1055, 2868, 2892, 2893, 2894, 2895, 3012, 861, 862, 863, 864, 865, 866, 2052, 2082, 2083, 2009, 2010, 462, 464, 465, 466, 467, 468, 3032, 3033, 3085]"
17,17_12,1,"[765, 2007, 2008, 2009, 2010, 462, 464, 465, 466, 467, 468, 3032, 3033, 3085]"
17,17_13,1,"[1380, 1381, 1406, 1407, 1409, 3353, 3354, 3355, 3356, 1400, 1391, 3357, 3358, 2449, 2450, 2451, 2434, 2435, 2436, 2437, 1117, 1118, 1119, 1120, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1055, 2868, 2892, 2893, 2894, 2895, 3012, 861, 862, 863, 864, 865, 866, 2052, 2082, 765, 2083, 765]"
17,17_14,1,"[1380, 1381, 1406, 1407, 1409, 3353, 3354, 3355, 3356, 1400, 1391, 3357, 3358, 2449, 2450, 2451, 2434, 2435, 2436, 2437, 1117, 1118, 1119, 1120, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1055, 2868, 2892, 2893, 2894, 2895, 3012, 861, 862, 863, 864, 865, 866, 2052, 765, 2082, 768, 2083, 765, 2085, 2086, 768, 2085, 2086]"
17,17_15,2,"[3085, 3082, 3083, 430, 431, 432, 433, 434, 2068, 2069, 2070, 2084, 4391, 765, 867, 2071, 869, 2072, 870, 867, 869, 873, 874, 870, 873, 875, 874, 876, 875, 3011, 2820, 876, 3011, 2822, 2820, 2823, 2822, 5032, 2823, 2867, 5032, 1035, 2867, 1314, 1035, 1316, 1314, 1315, 1317, 1316, 1318, 1315, 1319, 1317, 1281, 1318, 1319, 1329, 1281, 1330, 1329, 1331, 1330, 1332, 1333, 1331, 1334, 1332, 1333, 1335, 1334, 1336, 1335, 1086, 1336, 1087, 1086, 1088, 1087, 1089, 1088, 1090, 2413, 1089, 2414, 1090, 2413, 2415, 2414, 2327, 2464, 2415, 2465, 2327, 2464, 2466, 2465, 3360, 2466, 1392, 3360, 1394, 1392, 1395, 3361, 1394, 1395, 3362, 3361, 1436, 3952, 3362, 1436, 2190, 3952, 1366, 2190, 1367, 1366, 1367]"
17,17_16,2,"[3085, 3082, 3083, 430, 431, 432, 433, 434, 2068, 2069, 2070, 2071, 2072, 867, 869, 870, 873, 874, 875, 876, 3011, 2820, 2822, 2823, 5032, 2867, 1035, 1314, 1316, 1315, 1317, 1318, 1319, 1281, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1086, 1087, 1088, 1089, 1090, 2413, 2414, 2415, 2327, 2464, 2465, 2466, 3360, 1392, 1394, 1395, 3361, 3362, 1436, 3952, 2190, 1366, 1367]"
17,17_17,2,"[4391, 765, 867, 2071, 2072, 869, 870, 867, 873, 869, 874, 870, 873, 875, 874, 876, 875, 3011, 876, 2820, 2822, 3011, 2820, 2823, 2822, 5032, 2867, 2823, 5032, 1035, 2867, 1314, 1316, 1035, 1315, 1314, 1317, 1316, 1318, 1315, 1319, 1317, 1318, 1281, 1319, 1329, 1281, 1330, 1329, 1331, 1330, 1332, 1333, 1331, 1332, 1334, 1335, 1333, 1336, 1334, 1086, 1335, 1087, 1336, 1086, 1088, 1089, 1087, 1088, 1090, 2413, 1089, 2414, 1090, 2413, 2415, 2414, 2327, 2415, 2464, 2465, 2327, 2464, 2466, 2465, 3360, 2466, 1392, 3360, 1394, 1392, 1395, 1394, 3361, 1395, 3362, 3361, 1436, 3952, 3362, 1436, 2190, 3952, 1366, 2190, 1367, 1366, 1367]"
17,17_18,2,"[4391, 765, 867, 2071, 869, 2072, 870, 867, 873, 869, 874, 870, 875, 873, 874, 876, 875, 3011, 876, 2820, 3011, 2822, 2820, 2823, 5032, 2822, 2823, 2867, 5032, 1035, 2867, 1314, 1035, 1316, 1314, 1315, 1316, 1317, 1315, 1318, 1319, 1317, 1281, 1318, 1329, 1319, 1330, 1281, 1331, 1329, 1332, 1330, 1331, 1333, 1332, 1334, 1333, 1335, 1334, 1336, 1335, 1086, 1336, 1087, 1086, 1088, 1089, 1087, 1090, 1088, 1089, 2413, 2414, 1090, 2413, 2415, 2327, 2414, 2464, 2415, 2465, 2327, 2466, 2464, 3360, 2465, 1392, 2466, 3360, 1394, 1392, 1395, 1394, 3361, 3362, 1395, 3361, 1436, 3362, 3952, 2190, 1436, 1366, 3952, 1367, 2190, 1366, 1367]"
17,17_19,1,"[2437, 1117, 1118, 1119, 1120, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1055, 2868, 2892, 2893, 2894, 2895, 3012, 861, 862, 863, 864, 865, 866, 2052, 2082, 765, 2083, 765, 2007, 2008, 2009, 2010, 462, 464, 465, 466, 467, 468, 3032, 3033, 3085]"
