LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
7B,7B_93,4962,2,27900,1
7B,7B_93,281,2,27900,1
7B,7B_93,320,2,27900,1
7B,7B_93,345,2,27900,1
7B,7B_93,7587,2,27900,1
7B,7B_93,792,2,27900,1
7B,7B_93,786,2,27900,1
7B,7B_93,776,2,27900,1
7B,7B_93,775,2,27900,1
7B,7B_93,774,2,27900,1
7B,7B_93,773,2,27900,1
7B,7B_93,770,2,27900,1
7B,7B_93,769,2,27900,1
7B,7B_93,768,2,27900,1
7B,7B_93,2084,2,27900,1
7B,7B_93,461,2,27900,1
7B,7B_93,4728,2,27900,1
7B,7B_93,4727,2,27900,1
7B,7B_93,3345,2,27900,1
7B,7B_93,7419,2,27900,1
7B,7B_93,6086,2,27900,1
7B,7B_93,2025,2,27900,1
7B,7B_93,2023,2,27900,1
7B,7B_93,4731,2,27900,1
7B,7B_93,3247,2,27900,1
7B,7B_93,3246,2,27900,1
7B,7B_93,3230,2,27900,1
7B,7B_93,3229,2,27900,1
7B,7B_93,3228,2,27900,1
7B,7B_93,3226,2,27900,1
7B,7B_93,3224,2,27900,1
7B,7B_93,7317,2,27900,1
7B,7B_93,3557,2,27900,1
7B,7B_93,3555,2,27900,1
7B,7B_93,3554,2,27900,1
7B,7B_93,3553,2,27900,1
7B,7B_93,3544,2,27900,1
7B,7B_93,771,2,27900,1
7B,7B_93,4,2,27900,1
7B,7B_93,2024,2,27900,1
7B,7B_93,909,2,27900,1
7B,7B_93,3227,2,27900,1
7B,7B_93,777,2,27900,1
7B,7B_93,2069,2,27900,1
7B,7B_93,7056,2,27900,1
7B,7B_93,3231,2,27900,1
7B,7B_93,3556,2,27900,1
7B,7B_93,907,2,27900,1
7B,7B_93,2068,2,27900,1
7B,7B_93,906,2,27900,1
7B,7B_93,7586,2,27900,1
7B,7B_93,3225,2,27900,1
7B,7B_93,908,2,27900,1
7B,7B_93,772,2,27900,1
7B,7B_93,2070,2,27900,1
7B,7B_93,7420,2,27900,1
