LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
33D,33D_62,3735,2,26400,3
33D,33D_62,7039,2,26400,3
33D,33D_62,7204,2,26400,3
33D,33D_62,3736,2,26400,3
33D,33D_62,7170,2,26400,3
33D,33D_62,3740,2,26400,3
33D,33D_62,3741,2,26400,3
33D,33D_62,5165,2,26400,3
33D,33D_62,3743,2,26400,3
33D,33D_62,3780,2,26400,3
33D,33D_62,3744,2,26400,3
33D,33D_62,3745,2,26400,3
33D,33D_62,3746,2,26400,3
33D,33D_62,6252,2,26400,3
33D,33D_62,302,2,26400,3
33D,33D_62,333,2,26400,3
33D,33D_62,747,2,26400,3
33D,33D_62,748,2,26400,3
33D,33D_62,3738,2,26400,3
33D,33D_61,407,1,63900,1
33D,33D_61,2498,1,63900,1
33D,33D_61,2499,1,63900,1
33D,33D_61,2500,1,63900,1
33D,33D_61,2501,1,63900,1
33D,33D_61,3718,1,63900,1
33D,33D_61,3720,1,63900,1
33D,33D_61,3721,1,63900,1
33D,33D_61,3723,1,63900,1
33D,33D_61,3724,1,63900,1
33D,33D_61,3725,1,63900,1
33D,33D_61,3726,1,63900,1
33D,33D_61,7039,1,63900,1
33D,33D_61,7204,1,63900,1
33D,33D_61,3729,1,63900,1
33D,33D_61,3730,1,63900,1
33D,33D_61,7623,1,63900,1
33D,33D_61,5069,1,63900,1
33D,33D_61,3722,1,63900,1
33D,33D_61,3732,1,63900,1
33D,33D_62,3732,2,26400,1
33D,33D_62,3733,2,26400,1
33D,33D_62,3734,2,26400,1
33D,33D_62,3735,2,26400,1
33D,33D_62,7039,2,26400,1
33D,33D_62,7204,2,26400,1
33D,33D_62,3736,2,26400,1
33D,33D_62,3738,2,26400,1
33D,33D_62,7170,2,26400,1
33D,33D_62,3741,2,26400,1
33D,33D_62,5165,2,26400,1
33D,33D_62,3743,2,26400,1
33D,33D_62,3780,2,26400,1
33D,33D_62,3744,2,26400,1
33D,33D_62,3746,2,26400,1
33D,33D_62,6252,2,26400,1
33D,33D_62,333,2,26400,1
33D,33D_62,747,2,26400,1
33D,33D_62,748,2,26400,1
33D,33D_62,3745,2,26400,1
33D,33D_62,3740,2,26400,1
33D,33D_62,302,2,26400,1
33D,33D_61,7623,1,63900,2
33D,33D_61,5069,1,63900,2
33D,33D_61,407,1,63900,2
33D,33D_61,2499,1,63900,2
33D,33D_61,2500,1,63900,2
33D,33D_61,2501,1,63900,2
33D,33D_61,3714,1,63900,2
33D,33D_61,3718,1,63900,2
33D,33D_61,3720,1,63900,2
33D,33D_61,3721,1,63900,2
33D,33D_61,3722,1,63900,2
33D,33D_61,3723,1,63900,2
33D,33D_61,3725,1,63900,2
33D,33D_61,3726,1,63900,2
33D,33D_61,7039,1,63900,2
33D,33D_61,3729,1,63900,2
33D,33D_61,3730,1,63900,2
33D,33D_61,3732,1,63900,2
33D,33D_61,3719,1,63900,2
33D,33D_61,2498,1,63900,2
33D,33D_61,3724,1,63900,2
33D,33D_62,3745,2,26400,2
33D,33D_62,3735,2,26400,2
33D,33D_62,7039,2,26400,2
33D,33D_62,7204,2,26400,2
33D,33D_62,3736,2,26400,2
33D,33D_62,3738,2,26400,2
33D,33D_62,7170,2,26400,2
33D,33D_62,3740,2,26400,2
33D,33D_62,3741,2,26400,2
33D,33D_62,5165,2,26400,2
33D,33D_62,3743,2,26400,2
33D,33D_62,3780,2,26400,2
33D,33D_62,3744,2,26400,2
33D,33D_62,6252,2,26400,2
33D,33D_62,302,2,26400,2
33D,33D_62,333,2,26400,2
33D,33D_62,747,2,26400,2
33D,33D_62,748,2,26400,2
33D,33D_62,3746,2,26400,2
33D,33D_62,3732,2,26400,0
33D,33D_62,7204,2,26400,0
33D,33D_62,3738,2,26400,0
33D,33D_62,5165,2,26400,0
33D,33D_62,3743,2,26400,0
33D,33D_62,3780,2,26400,0
33D,33D_62,3744,2,26400,0
33D,33D_62,3745,2,26400,0
33D,33D_62,3746,2,26400,0
33D,33D_62,6252,2,26400,0
33D,33D_62,302,2,26400,0
33D,33D_62,333,2,26400,0
33D,33D_62,3736,2,26400,0
33D,33D_62,7170,2,26400,0
33D,33D_62,748,2,26400,0
33D,33D_62,3741,2,26400,0
33D,33D_62,3740,2,26400,0
33D,33D_62,747,2,26400,0
33D,33D_61,2500,1,63900,0
33D,33D_61,3725,1,63900,0
33D,33D_61,407,1,63900,0
33D,33D_61,2498,1,63900,0
33D,33D_61,7039,1,63900,0
33D,33D_61,2501,1,63900,0
33D,33D_61,7623,1,63900,0
33D,33D_61,3718,1,63900,0
33D,33D_61,3720,1,63900,0
33D,33D_61,3721,1,63900,0
33D,33D_61,3722,1,63900,0
33D,33D_61,5069,1,63900,0
33D,33D_61,3723,1,63900,0
33D,33D_61,3724,1,63900,0
33D,33D_61,3726,1,63900,0
33D,33D_61,3732,1,63900,0
33D,33D_61,3730,1,63900,0
33D,33D_61,2499,1,63900,0
33D,33D_61,407,1,63900,3
33D,33D_61,2498,1,63900,3
33D,33D_61,2499,1,63900,3
33D,33D_61,2501,1,63900,3
33D,33D_61,3714,1,63900,3
33D,33D_61,3718,1,63900,3
33D,33D_61,3720,1,63900,3
33D,33D_61,3721,1,63900,3
33D,33D_61,3722,1,63900,3
33D,33D_61,3723,1,63900,3
33D,33D_61,3724,1,63900,3
33D,33D_61,3725,1,63900,3
33D,33D_61,7039,1,63900,3
33D,33D_61,3730,1,63900,3
33D,33D_61,3732,1,63900,3
33D,33D_61,7623,1,63900,3
33D,33D_61,5069,1,63900,3
33D,33D_61,3719,1,63900,3
33D,33D_61,2500,1,63900,3
33D,33D_61,3726,1,63900,3
33D,33D_62,3732,2,26400,3
33D,33D_62,3733,2,26400,3
33D,33D_62,3734,2,26400,3
33D,33D_61,407,1,63900,4
33D,33D_61,2498,1,63900,4
33D,33D_61,2499,1,63900,4
33D,33D_61,2500,1,63900,4
33D,33D_61,7623,1,63900,4
33D,33D_61,3721,1,63900,4
33D,33D_61,3722,1,63900,4
33D,33D_61,5069,1,63900,4
33D,33D_61,3724,1,63900,4
33D,33D_61,3725,1,63900,4
33D,33D_61,3726,1,63900,4
33D,33D_61,7039,1,63900,4
33D,33D_61,3729,1,63900,4
33D,33D_61,2501,1,63900,4
33D,33D_61,3723,1,63900,4
33D,33D_61,7204,1,63900,4
33D,33D_61,3728,1,63900,4
33D,33D_62,3735,2,26400,4
33D,33D_62,7039,2,26400,4
33D,33D_62,7204,2,26400,4
33D,33D_62,3736,2,26400,4
33D,33D_62,3738,2,26400,4
33D,33D_62,3740,2,26400,4
33D,33D_62,3741,2,26400,4
33D,33D_62,5165,2,26400,4
33D,33D_62,3743,2,26400,4
33D,33D_62,3780,2,26400,4
33D,33D_62,3744,2,26400,4
33D,33D_62,3745,2,26400,4
33D,33D_62,3746,2,26400,4
33D,33D_62,6252,2,26400,4
33D,33D_62,302,2,26400,4
33D,33D_62,333,2,26400,4
33D,33D_62,747,2,26400,4
33D,33D_62,748,2,26400,4
33D,33D_62,7170,2,26400,4
33D,33D_62,3732,2,26400,4
33D,33D_62,3734,2,26400,4
33D,33D_62,3733,2,26400,4
33D,33D_61,3714,1,63900,4
33D,33D_61,3719,1,63900,4
33D,33D_61,3718,1,63900,4
33D,33D_61,3720,1,63900,4
33D,33D_61,3730,1,63900,4
33D,33D_61,3732,1,63900,4
33D,33D_62,3733,2,26400,0
33D,33D_62,3735,2,26400,0
33D,33D_62,7039,2,26400,0
33D,33D_62,3734,2,26400,0
33D,33D_61,3714,1,63900,0
33D,33D_61,3719,1,63900,0
33D,33D_61,7204,1,63900,0
33D,33D_61,3728,1,63900,0
33D,33D_61,3729,1,63900,0
33D,33D_61,3714,1,63900,1
33D,33D_61,3728,1,63900,1
33D,33D_61,3719,1,63900,1
33D,33D_61,7204,1,63900,2
33D,33D_61,3728,1,63900,2
33D,33D_61,7204,1,63900,3
33D,33D_61,3728,1,63900,3
33D,33D_61,3729,1,63900,3
33D,33D_62,3732,2,26400,2
33D,33D_62,3733,2,26400,2
33D,33D_62,3734,2,26400,2
33D,33D_62,3750,2,26400,1
33D,33D_62,3749,2,26400,1
33D,33D_76,3741,2,26400,1
33D,33D_76,5165,2,26400,1
33D,33D_76,3743,2,26400,1
33D,33D_76,3780,2,26400,1
33D,33D_76,3745,2,26400,1
33D,33D_76,3746,2,26400,1
33D,33D_76,6252,2,26400,1
33D,33D_76,302,2,26400,1
33D,33D_76,333,2,26400,1
33D,33D_76,747,2,26400,1
33D,33D_76,748,2,26400,1
33D,33D_76,3744,2,26400,1
33D,33D_76,3735,2,26400,4
33D,33D_76,7039,2,26400,4
33D,33D_76,3738,2,26400,4
33D,33D_76,7170,2,26400,4
33D,33D_76,3740,2,26400,4
33D,33D_76,3741,2,26400,4
33D,33D_76,3743,2,26400,4
33D,33D_76,3780,2,26400,4
33D,33D_76,3744,2,26400,4
33D,33D_76,3745,2,26400,4
33D,33D_76,6252,2,26400,4
33D,33D_76,302,2,26400,4
33D,33D_76,333,2,26400,4
33D,33D_76,748,2,26400,4
33D,33D_76,3736,2,26400,4
33D,33D_76,5165,2,26400,4
33D,33D_76,3746,2,26400,4
33D,33D_76,747,2,26400,4
33D,33D_76,7204,2,26400,4
