LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
38B,38B_44,751,2,30960,1
38B,38B_44,750,2,30960,1
38B,38B_44,749,2,30960,1
38B,38B_44,819,2,30960,1
38B,38B_44,817,2,30960,1
38B,38B_44,80,2,30960,1
38B,38B_44,79,2,30960,1
38B,38B_44,1804,2,30960,1
38B,38B_44,1905,2,30960,1
38B,38B_44,1703,2,30960,1
38B,38B_44,1699,2,30960,1
38B,38B_44,1698,2,30960,1
38B,38B_44,1697,2,30960,1
38B,38B_44,7166,2,30960,1
38B,38B_44,1845,2,30960,1
38B,38B_44,1833,2,30960,1
38B,38B_44,4999,2,30960,1
38B,38B_44,4998,2,30960,1
38B,38B_44,1828,2,30960,1
38B,38B_44,1719,2,30960,1
38B,38B_44,4992,2,30960,1
38B,38B_44,4990,2,30960,1
38B,38B_44,4989,2,30960,1
38B,38B_44,1803,2,30960,1
38B,38B_44,77,2,30960,1
38B,38B_44,1835,2,30960,1
38B,38B_44,7339,2,30960,1
38B,38B_44,7370,2,30960,1
38B,38B_44,752,2,30960,1
38B,38B_44,748,2,30960,1
38B,38B_44,747,2,30960,1
38B,38B_44,6059,2,30960,1
38B,38B_44,265,2,30960,1
38B,38B_44,1700,2,30960,1
38B,38B_44,82,2,30960,1
38B,38B_44,78,2,30960,1
38B,38B_44,1847,2,30960,1
38B,38B_44,2338,2,30960,1
38B,38B_44,1837,2,30960,1
38B,38B_44,1836,2,30960,1
38B,38B_44,1834,2,30960,1
38B,38B_44,4997,2,30960,1
38B,38B_44,1829,2,30960,1
38B,38B_44,4991,2,30960,1
38B,38B_44,1702,2,30960,1
38B,38B_44,753,2,30960,1
38B,38B_44,818,2,30960,1
38B,38B_44,1696,2,30960,1
38B,38B_44,4745,2,30960,1
38B,38B_44,404,2,30960,1
38B,38B_44,1701,2,30960,1
38B,38B_44,7339,2,24720,1
38B,38B_44,7370,2,24720,1
38B,38B_44,753,2,24720,1
38B,38B_44,752,2,24720,1
38B,38B_44,750,2,24720,1
38B,38B_44,749,2,24720,1
38B,38B_44,748,2,24720,1
38B,38B_44,747,2,24720,1
38B,38B_44,404,2,24720,1
38B,38B_44,6059,2,24720,1
38B,38B_44,265,2,24720,1
38B,38B_44,819,2,24720,1
38B,38B_44,817,2,24720,1
38B,38B_44,82,2,24720,1
38B,38B_44,80,2,24720,1
38B,38B_44,79,2,24720,1
38B,38B_44,78,2,24720,1
38B,38B_44,77,2,24720,1
38B,38B_44,1803,2,24720,1
38B,38B_44,1804,2,24720,1
38B,38B_44,1905,2,24720,1
38B,38B_44,1702,2,24720,1
38B,38B_44,1700,2,24720,1
38B,38B_44,1699,2,24720,1
38B,38B_44,1698,2,24720,1
38B,38B_44,1697,2,24720,1
38B,38B_44,1847,2,24720,1
38B,38B_44,7166,2,24720,1
38B,38B_44,1845,2,24720,1
38B,38B_44,2338,2,24720,1
38B,38B_44,1837,2,24720,1
38B,38B_44,1836,2,24720,1
38B,38B_44,1835,2,24720,1
38B,38B_44,1834,2,24720,1
38B,38B_44,1833,2,24720,1
38B,38B_44,4997,2,24720,1
38B,38B_44,1829,2,24720,1
38B,38B_44,1719,2,24720,1
38B,38B_44,4992,2,24720,1
38B,38B_44,4999,2,24720,1
38B,38B_44,4745,2,24720,1
38B,38B_44,751,2,24720,1
38B,38B_44,1703,2,24720,1
38B,38B_44,818,2,24720,1
38B,38B_44,1701,2,24720,1
38B,38B_44,1696,2,24720,1
38B,38B_44,4998,2,24720,1
38B,38B_44,1828,2,24720,1
38B,38B_44,7339,2,26160,1
38B,38B_44,7370,2,26160,1
38B,38B_44,752,2,26160,1
38B,38B_44,750,2,26160,1
38B,38B_44,749,2,26160,1
38B,38B_44,748,2,26160,1
38B,38B_44,747,2,26160,1
38B,38B_44,404,2,26160,1
38B,38B_44,6059,2,26160,1
38B,38B_44,265,2,26160,1
38B,38B_44,819,2,26160,1
38B,38B_44,817,2,26160,1
38B,38B_44,82,2,26160,1
38B,38B_44,80,2,26160,1
38B,38B_44,79,2,26160,1
38B,38B_44,78,2,26160,1
38B,38B_44,1803,2,26160,1
38B,38B_44,1804,2,26160,1
38B,38B_44,1905,2,26160,1
38B,38B_44,1703,2,26160,1
38B,38B_44,1702,2,26160,1
38B,38B_44,1701,2,26160,1
38B,38B_44,1700,2,26160,1
38B,38B_44,1699,2,26160,1
38B,38B_44,1698,2,26160,1
38B,38B_44,1696,2,26160,1
38B,38B_44,1847,2,26160,1
38B,38B_44,7166,2,26160,1
38B,38B_44,1845,2,26160,1
