LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
38A,38A_20,4995,1,43800,0
38A,38A_20,4996,1,43800,0
38A,38A_20,1827,1,43800,0
38A,38A_20,7382,1,43800,0
38A,38A_20,7381,1,43800,0
38A,38A_20,4742,1,43800,0
38A,38A_20,4743,1,43800,0
38A,38A_20,4745,1,43800,0
38A,38A_20,1660,1,43800,0
38A,38A_20,1662,1,43800,0
38A,38A_20,1664,1,43800,0
38A,38A_20,1665,1,43800,0
38A,38A_20,1666,1,43800,0
38A,38A_20,1807,1,43800,0
38A,38A_20,7167,1,43800,0
38A,38A_20,1808,1,43800,0
38A,38A_20,1813,1,43800,0
38A,38A_20,1814,1,43800,0
38A,38A_20,1816,1,43800,0
38A,38A_20,1817,1,43800,0
38A,38A_20,1818,1,43800,0
38A,38A_20,1819,1,43800,0
38A,38A_20,1822,1,43800,0
38A,38A_20,7333,1,43800,0
38A,38A_20,783,1,43800,0
38A,38A_20,784,1,43800,0
38A,38A_20,785,1,43800,0
38A,38A_20,786,1,43800,0
38A,38A_20,793,1,43800,0
38A,38A_20,7576,1,43800,0
38A,38A_20,274,1,43800,0
38A,38A_20,2,1,43800,0
38A,38A_20,192,1,43800,0
38A,38A_20,795,1,43800,0
38A,38A_20,796,1,43800,0
38A,38A_20,57,1,43800,0
38A,38A_20,58,1,43800,0
38A,38A_20,59,1,43800,0
38A,38A_20,60,1,43800,0
38A,38A_20,1802,1,43800,0
38A,38A_20,1795,1,43800,0
38A,38A_20,1806,1,43800,0
38A,38A_20,1661,1,43800,0
38A,38A_20,4994,1,43800,0
38A,38A_20,1826,1,43800,0
38A,38A_20,4995,1,51000,0
38A,38A_20,4996,1,51000,0
38A,38A_20,1826,1,51000,0
38A,38A_20,1827,1,51000,0
38A,38A_20,7381,1,51000,0
38A,38A_20,4742,1,51000,0
38A,38A_20,4743,1,51000,0
38A,38A_20,4745,1,51000,0
38A,38A_20,1806,1,51000,0
38A,38A_20,1660,1,51000,0
38A,38A_20,1661,1,51000,0
38A,38A_20,1662,1,51000,0
38A,38A_20,1664,1,51000,0
38A,38A_20,1666,1,51000,0
38A,38A_20,1807,1,51000,0
38A,38A_20,7167,1,51000,0
38A,38A_20,1808,1,51000,0
38A,38A_20,1813,1,51000,0
38A,38A_20,1814,1,51000,0
38A,38A_20,1817,1,51000,0
38A,38A_20,1818,1,51000,0
38A,38A_20,1819,1,51000,0
38A,38A_20,1822,1,51000,0
38A,38A_20,4994,1,51000,0
38A,38A_20,7333,1,51000,0
38A,38A_20,783,1,51000,0
38A,38A_20,784,1,51000,0
38A,38A_20,785,1,51000,0
38A,38A_20,786,1,51000,0
38A,38A_20,793,1,51000,0
38A,38A_20,7576,1,51000,0
38A,38A_20,274,1,51000,0
38A,38A_20,192,1,51000,0
38A,38A_20,795,1,51000,0
38A,38A_20,796,1,51000,0
38A,38A_20,57,1,51000,0
38A,38A_20,58,1,51000,0
38A,38A_20,59,1,51000,0
38A,38A_20,60,1,51000,0
38A,38A_20,1802,1,51000,0
38A,38A_20,1665,1,51000,0
38A,38A_20,1816,1,51000,0
38A,38A_20,2,1,51000,0
38A,38A_20,1795,1,51000,0
38A,38A_20,7382,1,51000,0
38A,38A_20,4995,1,47400,0
38A,38A_20,1826,1,47400,0
38A,38A_20,1827,1,47400,0
38A,38A_20,7382,1,47400,0
38A,38A_20,7381,1,47400,0
38A,38A_20,4745,1,47400,0
38A,38A_20,1660,1,47400,0
38A,38A_20,1661,1,47400,0
38A,38A_20,1662,1,47400,0
38A,38A_20,1664,1,47400,0
38A,38A_20,1666,1,47400,0
38A,38A_20,1807,1,47400,0
38A,38A_20,1808,1,47400,0
38A,38A_20,1813,1,47400,0
38A,38A_20,1814,1,47400,0
38A,38A_20,1816,1,47400,0
38A,38A_20,1818,1,47400,0
38A,38A_20,1819,1,47400,0
38A,38A_20,4994,1,47400,0
38A,38A_20,7333,1,47400,0
38A,38A_20,783,1,47400,0
38A,38A_20,785,1,47400,0
38A,38A_20,786,1,47400,0
38A,38A_20,793,1,47400,0
38A,38A_20,2,1,47400,0
38A,38A_20,795,1,47400,0
38A,38A_20,796,1,47400,0
38A,38A_20,57,1,47400,0
38A,38A_20,59,1,47400,0
38A,38A_20,60,1,47400,0
38A,38A_20,1802,1,47400,0
38A,38A_20,1795,1,47400,0
38A,38A_20,784,1,47400,0
38A,38A_20,274,1,47400,0
38A,38A_20,58,1,47400,0
38A,38A_20,1806,1,47400,0
38A,38A_20,1665,1,47400,0
38A,38A_20,7167,1,47400,0
38A,38A_20,1817,1,47400,0
38A,38A_20,4996,1,47400,0
38A,38A_20,4742,1,47400,0
38A,38A_20,1822,1,47400,0
38A,38A_20,7576,1,47400,0
38A,38A_20,192,1,47400,0
38A,38A_20,4743,1,47400,0
38A,38A_20,4995,1,40200,0
38A,38A_20,4996,1,40200,0
38A,38A_20,1826,1,40200,0
38A,38A_20,7382,1,40200,0
38A,38A_20,7381,1,40200,0
38A,38A_20,4742,1,40200,0
38A,38A_20,4743,1,40200,0
38A,38A_20,1806,1,40200,0
38A,38A_20,1661,1,40200,0
38A,38A_20,1664,1,40200,0
38A,38A_20,1665,1,40200,0
38A,38A_20,1666,1,40200,0
38A,38A_20,1807,1,40200,0
38A,38A_20,1808,1,40200,0
38A,38A_20,1813,1,40200,0
38A,38A_20,1816,1,40200,0
38A,38A_20,1817,1,40200,0
38A,38A_20,1819,1,40200,0
38A,38A_20,1822,1,40200,0
38A,38A_20,4994,1,40200,0
38A,38A_20,7333,1,40200,0
38A,38A_20,783,1,40200,0
38A,38A_20,785,1,40200,0
38A,38A_20,786,1,40200,0
38A,38A_20,793,1,40200,0
38A,38A_20,274,1,40200,0
38A,38A_20,2,1,40200,0
38A,38A_20,192,1,40200,0
38A,38A_20,795,1,40200,0
38A,38A_20,57,1,40200,0
38A,38A_20,58,1,40200,0
38A,38A_20,59,1,40200,0
38A,38A_20,60,1,40200,0
38A,38A_20,1795,1,40200,0
38A,38A_20,784,1,40200,0
38A,38A_20,7576,1,40200,0
38A,38A_20,796,1,40200,0
38A,38A_20,1802,1,40200,0
38A,38A_20,1662,1,40200,0
38A,38A_20,1814,1,40200,0
38A,38A_20,1818,1,40200,0
38A,38A_20,1827,1,40200,0
38A,38A_20,4745,1,40200,0
38A,38A_20,1660,1,40200,0
38A,38A_20,7167,1,40200,0
38A,38A_20,4995,1,36300,0
38A,38A_20,1826,1,36300,0
38A,38A_20,1827,1,36300,0
38A,38A_20,7382,1,36300,0
38A,38A_20,7381,1,36300,0
38A,38A_20,4742,1,36300,0
38A,38A_20,4743,1,36300,0
38A,38A_20,4745,1,36300,0
38A,38A_20,1806,1,36300,0
38A,38A_20,1660,1,36300,0
38A,38A_20,1661,1,36300,0
38A,38A_20,1662,1,36300,0
38A,38A_20,1665,1,36300,0
38A,38A_20,1666,1,36300,0
38A,38A_20,1807,1,36300,0
38A,38A_20,7167,1,36300,0
38A,38A_20,1808,1,36300,0
38A,38A_20,1813,1,36300,0
38A,38A_20,1816,1,36300,0
38A,38A_20,1817,1,36300,0
38A,38A_20,1818,1,36300,0
38A,38A_20,1819,1,36300,0
38A,38A_20,1822,1,36300,0
38A,38A_20,4994,1,36300,0
38A,38A_20,7333,1,36300,0
38A,38A_20,784,1,36300,0
38A,38A_20,785,1,36300,0
38A,38A_20,786,1,36300,0
38A,38A_20,7576,1,36300,0
38A,38A_20,2,1,36300,0
38A,38A_20,192,1,36300,0
38A,38A_20,795,1,36300,0
38A,38A_20,796,1,36300,0
38A,38A_20,57,1,36300,0
38A,38A_20,58,1,36300,0
38A,38A_20,59,1,36300,0
38A,38A_20,60,1,36300,0
38A,38A_20,1795,1,36300,0
38A,38A_20,1664,1,36300,0
38A,38A_20,1814,1,36300,0
38A,38A_20,783,1,36300,0
38A,38A_20,793,1,36300,0
38A,38A_20,274,1,36300,0
38A,38A_20,1802,1,36300,0
38A,38A_20,4996,1,36300,0
38A,38A_20,4995,1,67800,0
38A,38A_20,4996,1,67800,0
38A,38A_20,1826,1,67800,0
38A,38A_20,1827,1,67800,0
38A,38A_20,7382,1,67800,0
38A,38A_20,7381,1,67800,0
38A,38A_20,4743,1,67800,0
38A,38A_20,4745,1,67800,0
38A,38A_20,1660,1,67800,0
38A,38A_20,1661,1,67800,0
38A,38A_20,1662,1,67800,0
38A,38A_20,1664,1,67800,0
38A,38A_20,1665,1,67800,0
38A,38A_20,1666,1,67800,0
38A,38A_20,7167,1,67800,0
38A,38A_20,1808,1,67800,0
38A,38A_20,1813,1,67800,0
38A,38A_20,1814,1,67800,0
38A,38A_20,1816,1,67800,0
38A,38A_20,1817,1,67800,0
38A,38A_20,1818,1,67800,0
38A,38A_20,1819,1,67800,0
38A,38A_20,1822,1,67800,0
38A,38A_20,4994,1,67800,0
38A,38A_20,783,1,67800,0
38A,38A_20,784,1,67800,0
38A,38A_20,785,1,67800,0
38A,38A_20,786,1,67800,0
38A,38A_20,793,1,67800,0
38A,38A_20,7576,1,67800,0
38A,38A_20,274,1,67800,0
38A,38A_20,2,1,67800,0
38A,38A_20,192,1,67800,0
38A,38A_20,795,1,67800,0
38A,38A_20,796,1,67800,0
38A,38A_20,57,1,67800,0
38A,38A_20,58,1,67800,0
38A,38A_20,59,1,67800,0
38A,38A_20,1802,1,67800,0
38A,38A_20,1795,1,67800,0
38A,38A_20,1806,1,67800,0
38A,38A_20,1807,1,67800,0
38A,38A_20,7333,1,67800,0
38A,38A_20,60,1,67800,0
38A,38A_20,4742,1,67800,0
38A,38A_20,4995,1,61800,0
38A,38A_20,4996,1,61800,0
38A,38A_20,1826,1,61800,0
38A,38A_20,1827,1,61800,0
38A,38A_20,7382,1,61800,0
38A,38A_20,4743,1,61800,0
38A,38A_20,4745,1,61800,0
38A,38A_20,1806,1,61800,0
38A,38A_20,1662,1,61800,0
38A,38A_20,1664,1,61800,0
38A,38A_20,1665,1,61800,0
38A,38A_20,1807,1,61800,0
38A,38A_20,7167,1,61800,0
38A,38A_20,1813,1,61800,0
38A,38A_20,1814,1,61800,0
38A,38A_20,1816,1,61800,0
38A,38A_20,1822,1,61800,0
38A,38A_20,4994,1,61800,0
