LINEID,ROUTEID,STOPPOINTID,DIRECTION,TRIPS_PLANNEDTIME_DEP,DAYOFWEEK
40B,40B_63,4546,1,55800,0
40B,40B_63,1559,1,55800,0
40B,40B_63,1560,1,55800,0
40B,40B_63,6348,1,55800,0
40B,40B_63,1182,1,55800,0
40B,40B_63,1550,1,55800,0
40B,40B_63,1553,1,55800,0
40B,40B_63,7023,1,55800,0
40B,40B_63,4315,1,55800,0
40B,40B_63,4316,1,55800,0
40B,40B_63,11,1,55800,0
40B,40B_63,6004,1,55800,0
40B,40B_63,7,1,55800,0
40B,40B_63,14,1,55800,0
40B,40B_63,834,1,55800,0
40B,40B_63,835,1,55800,0
40B,40B_63,836,1,55800,0
40B,40B_63,837,1,55800,0
40B,40B_63,1506,1,55800,0
40B,40B_63,1508,1,55800,0
40B,40B_63,1510,1,55800,0
40B,40B_63,1511,1,55800,0
40B,40B_63,4548,1,55800,0
40B,40B_63,980,1,55800,0
40B,40B_63,981,1,55800,0
40B,40B_63,1519,1,55800,0
40B,40B_63,1520,1,55800,0
40B,40B_63,7661,1,55800,0
40B,40B_63,1521,1,55800,0
40B,40B_63,15,1,55800,0
40B,40B_63,1507,1,55800,0
40B,40B_63,1512,1,55800,0
40B,40B_63,1518,1,55800,0
40B,40B_63,1280,1,55800,0
40B,40B_63,1552,1,55800,0
40B,40B_63,7014,1,55800,0
40B,40B_63,1551,1,55800,0
40B,40B_63,1509,1,55800,0
40B,40B_63,1538,1,55800,0
40B,40B_63,1559,1,64800,0
40B,40B_63,1560,1,64800,0
40B,40B_63,1280,1,64800,0
40B,40B_63,1182,1,64800,0
40B,40B_63,1550,1,64800,0
40B,40B_63,1551,1,64800,0
40B,40B_63,1552,1,64800,0
40B,40B_63,1553,1,64800,0
40B,40B_63,7023,1,64800,0
40B,40B_63,7014,1,64800,0
40B,40B_63,4316,1,64800,0
40B,40B_63,7,1,64800,0
40B,40B_63,14,1,64800,0
40B,40B_63,15,1,64800,0
40B,40B_63,834,1,64800,0
40B,40B_63,835,1,64800,0
40B,40B_63,837,1,64800,0
40B,40B_63,1507,1,64800,0
40B,40B_63,1508,1,64800,0
40B,40B_63,1509,1,64800,0
40B,40B_63,1510,1,64800,0
40B,40B_63,1511,1,64800,0
40B,40B_63,1512,1,64800,0
40B,40B_63,1538,1,64800,0
40B,40B_63,4548,1,64800,0
40B,40B_63,980,1,64800,0
40B,40B_63,981,1,64800,0
40B,40B_63,1518,1,64800,0
40B,40B_63,1519,1,64800,0
40B,40B_63,1520,1,64800,0
40B,40B_63,7661,1,64800,0
40B,40B_63,1521,1,64800,0
40B,40B_63,11,1,64800,0
40B,40B_63,836,1,64800,0
40B,40B_63,4546,1,64800,0
40B,40B_63,6348,1,64800,0
40B,40B_63,4315,1,64800,0
40B,40B_63,6004,1,64800,0
40B,40B_63,1506,1,64800,0
40B,40B_63,1559,1,45000,0
40B,40B_63,1560,1,45000,0
40B,40B_63,1280,1,45000,0
40B,40B_63,1182,1,45000,0
40B,40B_63,1550,1,45000,0
40B,40B_63,1551,1,45000,0
40B,40B_63,1552,1,45000,0
40B,40B_63,7023,1,45000,0
40B,40B_63,7014,1,45000,0
40B,40B_63,4315,1,45000,0
40B,40B_63,4316,1,45000,0
40B,40B_63,6004,1,45000,0
40B,40B_63,7,1,45000,0
40B,40B_63,11,1,45000,0
40B,40B_63,15,1,45000,0
40B,40B_63,834,1,45000,0
40B,40B_63,836,1,45000,0
40B,40B_63,1506,1,45000,0
40B,40B_63,1507,1,45000,0
40B,40B_63,1508,1,45000,0
40B,40B_63,1509,1,45000,0
40B,40B_63,1511,1,45000,0
40B,40B_63,1512,1,45000,0
40B,40B_63,1538,1,45000,0
40B,40B_63,980,1,45000,0
40B,40B_63,981,1,45000,0
40B,40B_63,1519,1,45000,0
40B,40B_63,7661,1,45000,0
40B,40B_63,14,1,45000,0
40B,40B_63,837,1,45000,0
40B,40B_63,1510,1,45000,0
40B,40B_63,4548,1,45000,0
40B,40B_63,1520,1,45000,0
40B,40B_63,4546,1,45000,0
40B,40B_63,6348,1,45000,0
40B,40B_63,1553,1,45000,0
40B,40B_63,835,1,45000,0
40B,40B_63,1518,1,45000,0
40B,40B_63,1521,1,45000,0
40B,40B_65,4316,2,73800,0
40B,40B_65,4317,2,73800,0
40B,40B_65,7013,2,73800,0
40B,40B_65,6162,2,73800,0
40B,40B_65,7022,2,73800,0
40B,40B_65,1554,2,73800,0
40B,40B_65,1555,2,73800,0
40B,40B_65,1557,2,73800,0
40B,40B_65,1181,2,73800,0
40B,40B_65,7350,2,73800,0
40B,40B_65,1558,2,73800,0
40B,40B_65,1549,2,73800,0
